_id,School_Number,School_Name,Street,Suburb,Post_Code,Type_of_Schooling,Year_Levels,Sector,Latitude,Longitude
231,1579,Fraser Park Child Parent Centre,25-27 Burdekin Avenue,Murray Bridge,5253,Preschools,,Public,-35.140404,139.281525
232,1382,Fraser Park Primary School,25-27 Burdekin Avenue,Murray Bridge,5253,Primary Education,Reception to Year 7,Public,-35.140404,139.281525
233,1784,Freeling Preschool,Coulls Street,Freeling,5372,Preschools,,Public,-34.457842,138.811414
234,139,Freeling Primary School,Coulls Street,Freeling,5372,Primary Education,Reception to Year 7,Public,-34.457842,138.811414
235,1196,Fregon Anangu School,NULL,Fregon,872,Aboriginal/Anangu Schools,Reception to Year 12,Private,-26.765131,132.028295
236,1580,Fregon Child Parent Centre,NULL,Fregon,872,Preschools,,Public,-26.765131,132.028295
237,3632,Frieda Corpe Community Kindergarten,42 Benny Avenue,Port Noarlunga,5167,Preschools,,Private,-35.144175,138.471406
238,934,Fulham Gardens Primary School,Mitton Avenue,Henley Beach,5022,Primary Education,Reception to Year 7,Public,-34.912392,138.503289
239,1166,Fulham North Primary School,Cheadle Street,Henley Beach,5022,Primary Education,Reception to Year 7,Public,-34.919552,138.505142
240,5615,Fulham Park Preschool Kindergarten,28 Castlebar Road,Lockleys,5032,Preschools,,Private,-34.921135,138.523935
241,6642,Gabmididi Manoo Childrn & Family Ctr,Cnr Clutterbuck St & Hincks Ave,Whyalla Norrie,5608,Integrated Centres,,Public,-33.018248,137.546134
242,2624,Gawler & Dist College B-12 Chn Ctr,Barnet Road,Evanston,5116,Integrated Centres,,Public,-34.619476,138.736184
243,774,Gawler and District College B-12,Barnet Road,Evanston,5116,Primary/Secondary Combined,Reception to Year 12,Private,-34.619476,138.736184
244,2691,Gawler East Preschool Centre,Finch Road,Gawler,5118,Preschools,,Private,-34.597384,138.76217
245,1008,Gawler East Primary School,Finch Road,Gawler East,5118,Primary Education,Reception to Year 7,Public,-34.598085,138.761294
246,141,Gawler Primary School,School Road,Gawler,5118,Primary Education,Reception to Year 7,Private,-34.597541,138.740692
247,145,Geranium Primary School,1-3 Geranium Terrace,Geranium,5301,Primary Education,Reception to Year 7,Public,-35.379183,140.160086
248,120,Gilles Street Primary School,91 Gilles Street,Adelaide,5000,Primary Education,Reception to Year 7,Private,-34.93449,138.604464
249,6514,Gladigau Park Kindergarten,3 Gladigau Road,Mount Gambier,5290,Preschools,,Public,-37.813365,140.795285
250,775,Gladstone High School,Main North Road,Gladstone,5473,Secondary Education,Years 8-12,Private,-33.275577,138.35211
251,6620,Gladstone Kindergarten,2 West Terrace,Gladstone,5473,Preschools,,Public,-33.266137,138.350584
252,147,Gladstone Primary School,2 West Terrace,Gladstone,5473,Primary Education,Reception to Year 7,Private,-33.266137,138.350584
253,5616,Glandore Community Kindergarten,37 St Georges Avenue,Glandore,5037,Preschools,,Public,-34.960365,138.56431
254,152,Glen Osmond Primary School,5 Fisher Street,Myrtle Bank,5064,Primary Education,Reception to Year 7,Public,-34.957051,138.637255
255,148,Glenburnie Primary School,36 Kromelite Road,Glenburnie,5291,Primary Education,Reception to Year 7,Public,-37.84041,140.863876
256,6515,Glencoe & District Kindergarten,135 Kirrup Road,Glencoe,5291,Preschools,,Private,-37.669641,140.594383
257,1217,Glencoe Central Primary School,135 Kirrup Road,Glencoe,5291,Primary Education,Reception to Year 7,Private,-37.669641,140.594383
258,1017,Glenelg Primary School,Diagonal Road,Glenelg East,5045,Primary Education,Reception to Year 7,Public,-34.984803,138.521418
259,927,Glenunga International High School,99 L'Estrange Street,Glenunga,5064,Secondary Education,Years 8-12,Private,-34.949336,138.635192
260,5528,Glossop Community Preschool,Mitchell Terrace,Glossop,5344,Preschools,,Private,-34.271342,140.524768
261,776,Glossop High School,535 Old Sturt Highway,Glossop,5344,Secondary Education,Years 8-12,Public,-34.2748,140.535148
262,153,Glossop Primary Community School K-7,Mitchell Terrace,Glossop,5344,Primary Education,Reception to Year 7,Private,-34.271342,140.524768
263,1834,Golden Grove High School,1 Adey Place,Golden Grove,5125,Secondary Education,Years 8-12,Public,-34.792874,138.696789
264,4695,Golden Grove Kindergarten,Cnr Bicentennial & Botany Drives,Golden Grove,5125,Preschools,,Public,-34.787097,138.708129
265,1848,Golden Grove Primary School,140 Bicentennial Drive,Golden Grove,5125,Primary Education,Reception to Year 7,Private,-34.786332,138.708915
266,1583,Goodwood Preschool,140 Goodwood Road,Goodwood,5034,Preschools,,Public,-34.951478,138.588905
267,156,Goodwood Primary School,140 Goodwood Road,Goodwood,5034,Primary Education,Reception to Year 7,Public,-34.951478,138.588905
268,3635,Goolwa Children's Centre,Brooking Street,Goolwa,5214,Integrated Centres,,Private,-35.497832,138.782318
269,157,Goolwa Primary School,Gardiner Street,Goolwa,5214,Primary Education,Reception to Year 7,Private,-35.497553,138.780252
270,1645,Gordon Education Centre,18 Brownes Road,Mount Gambier,5290,Special Education,Reception to Year 12,Public,-37.825123,140.768224
271,1022,Grange Primary School,39C Jetty Street,Grange,5022,Primary Education,Reception to Year 7,Public,-34.903495,138.497089
272,928,Grant High School,Hosking Avenue,Mount Gambier,5290,Secondary Education,Years 8-12,Private,-37.84719,140.796014
273,160,Greenock Primary School,Bevan Street,Greenock,5360,Primary Education,Reception to Year 7,Public,-34.459939,138.921793
274,4696,Greenwith Kindergarten,2 Laburnum Drive,Greenwith,5125,Preschools,,Private,-34.769424,138.720703
275,1858,Greenwith Primary School,1500 Golden Grove Road,Greenwith,5125,Primary Education,Reception to Year 7,Public,-34.77021,138.720617
276,4618,Grove Kindergarten,12 Main Street,Eastwood,5063,Preschools,,Public,-34.942981,138.621218
277,1201,Gulfview Heights Primary School,39 Kiekebusch Road,Gulfview Heights,5096,Primary Education,Reception to Year 7,Private,-34.792078,138.668666
278,162,Gumeracha Primary School,Albert Street,Gumeracha,5233,Primary Education,Reception to Year 7,Public,-34.824981,138.880956
279,3636,Hackham East Kindergarten,Arnold Drive,Hackham,5163,Preschools,,Private,-35.14022,138.534268
280,1066,Hackham East Primary School,Collins Parade,Hackham,5163,Primary Education,Reception to Year 7,Private,-35.140077,138.534755
281,3638,Hackham West Children's Centre,9 Vintners Walk,Hackham West,5163,Integrated Centres,,Public,-35.145281,138.519023
282,1131,Hackham West R-7 School,50 Glynville Drive,Hackham West,5163,Primary Education,Reception to Year 7,Public,-35.144159,138.517588
283,4620,Hackney Kindergarten,68 Richmond Street,College Park,5069,Preschools,,Private,-34.907631,138.616988
284,1683,Hahndorf Preschool,12 Church Street,Hahndorf,5245,Preschools,,Public,-35.027474,138.810676
285,163,Hahndorf Primary School,12 Church Street,Hahndorf,5245,Primary Education,Reception to Year 7,Private,-35.027474,138.810676
286,1053,Hallett Cove East Primary School,Quailo Avenue,Hallett Cove,5158,Primary Education,Reception to Year 7,Private,-35.071138,138.517181
287,3645,Hallett Cove Karrara Kindergarten,45 Barramundi Drive,Hallett Cove,5158,Preschools,,Private,-35.068215,138.518385
288,3604,Hallett Cove Preschool,15 Zwerner Drive,Hallett Cove,5158,Preschools,,Public,-35.075678,138.517799
289,640,Hallett Cove School,2-32 Gledsdale Road,Hallett Cove,5158,Primary/Secondary Combined,Reception to Year 12,Public,-35.075965,138.511116
290,1584,Hallett Cove South Preschool,Livonia Street,Hallett Cove,5158,Preschools,,Private,-35.082581,138.503953
291,1054,Hallett Cove South Primary School,Livonia Street,Hallett Cove,5158,Primary Education,Reception to Year 7,Public,-35.082581,138.503953
292,823,Hamilton Secondary College,815 Marion Road,Mitchell Park,5043,Secondary Education,Years 8-12,Public,-34.99837,138.560781
293,2629,Hamley Bridge Kindergarten,13 Florence Street,Hamley Bridge,5401,Preschools,,Public,-34.354776,138.684713
294,167,Hamley Bridge Primary School,13 Florence Street,Hamley Bridge,5401,Primary Education,Reception to Year 7,Public,-34.354776,138.684713
295,6875,Hampstead Preschool,38-56 Muller Road,Greenacres,5086,Preschools,,Public,-34.870813,138.625981
296,689,Hampstead Primary School,38-56 Muller Road,Greenacres,5086,Primary Education,Reception to Year 7,Private,-34.870813,138.625981
297,3640,Happy Valley Kindergarten,12B Regency Road,Happy Valley,5159,Preschools,,Public,-35.08741,138.56448
298,171,Happy Valley Primary School,18 Education Road,Happy Valley,5159,Primary Education,Reception to Year 7,Private,-35.086923,138.583583
299,175,Hawker Area School,Arkaba Street,Hawker,5434,Primary/Secondary Combined,Reception to Year 12,Private,-31.89042,138.427892
300,6622,Hawker Childhood Services Centre,67 Chace View Terrace,Hawker,5434,Preschools,,Private,-31.89076,138.42876
301,4664,Hawthorndene Kindergarten,1 Kindergarten Avenue,Hawthorndene,5051,Preschools,,Public,-35.019701,138.635034
302,972,Hawthorndene Primary School,Suffolk Road,Hawthorndene,5051,Primary Education,Reception to Year 7,Public,-35.020774,138.636088
303,926,Heathfield High School,99 Longwood Road,Heathfield,5153,Secondary Education,Years 8-12,Private,-35.020536,138.712609
304,176,Heathfield Primary School,201 Longwood Road,Heathfield,5153,Primary Education,Reception to Year 7,Private,-35.029961,138.727279
305,1585,Hendon Preschool,Cedar Avenue,Royal Park,5014,Preschools,,Public,-34.877824,138.510886
306,670,Hendon Primary School,Cedar Avenue,Royal Park,5014,Primary Education,Reception to Year 7,Public,-34.877824,138.510886
307,177,Henley Beach Primary School,38 Hazel Terrace,Henley Beach South,5022,Primary Education,Reception to Year 7,Public,-34.929734,138.499429
308,5620,Henley Community Kindergarten,8 White Street,Henley Beach,5022,Preschools,,Public,-34.924389,138.499087
309,809,Henley High School,Cudmore Terrace,Henley Beach,5022,Secondary Education,Years 8-12,Private,-34.923383,138.500356
310,1876,Hewett Primary School,Kingfisher Drive,Hewett,5118,Primary Education,Reception to Year 7,Public,-34.575557,138.750309
311,4622,Highbury Preschool,46 Beckman Avenue,Highbury,5089,Preschools,,Public,-34.848678,138.708684
312,596,Highbury Primary School,Cnr Honeysuckle Drive & Payne St,Hope Valley,5090,Primary Education,Reception to Year 7,Public,-34.847954,138.709995
313,1063,Highgate School,4 Hampstead Avenue,Highgate,5063,Primary Education,Reception to Year 7,Public,-34.962788,138.622561
314,665,Hillcrest Primary School,Condamine Street,Hillcrest,5086,Primary Education,Reception to Year 7,Public,-34.866383,138.638678
315,938,Hincks Avenue Primary School,Schulz Avenue,Whyalla Norrie,5608,Primary Education,Reception to Year 7,Public,-33.018515,137.544825
316,4623,Holden Hill Kindergarten,80 Valiant Road,Holden Hill,5088,Preschools,,Public,-34.85383,138.67168
317,1830,Houghton Preschool,1376 Lower North East Road,Houghton,5131,Preschools,,Public,-34.831267,138.759014
318,1715,Huntfield Heights CPC,78 Melsetter Road,Huntfield Heights,5163,Preschools,,Public,-35.153156,138.516924
319,1067,Huntfield Heights School P-7,78 Melsetter Road,Huntfield Heights,5163,Primary Education,Reception to Year 7,Private,-35.153156,138.516924
320,4609,il nido Children's Centre,22 Campbell Road,Paradise,5075,Integrated Centres,,Public,-34.873809,138.6724
321,1174,Indulkana Anangu School,NULL,Indulkana,872,Aboriginal/Anangu Schools,Reception to Year 12,Public,-26.965604,133.310547
322,1586,Indulkana Child Parent Centre,NULL,Indulkana,872,Preschools,,Public,-26.965604,133.310547
323,2630,Ingle Farm Children's Centre,2 Belalie Road,Ingle Farm,5098,Integrated Centres,,Private,-34.827631,138.643207
324,925,Ingle Farm East Primary School,18 Halidon Street,Ingle Farm,5098,Primary Education,Reception to Year 7,Private,-34.833826,138.651948
325,1162,Ingle Farm Primary School,2 Belalie Road,Ingle Farm,5098,Primary Education,Reception to Year 7,Private,-34.827631,138.643207
326,4625,J B Cleland Kindergarten Inc,1A Gulfview Avenue,St Georges,5064,Preschools,,Private,-34.949315,138.649573
327,6624,Jamestown Community Children's Ctr,Humphris Terrace,Jamestown,5491,Integrated Centres,,Private,-33.204904,138.609566
328,777,Jamestown Community School,Humphris Terrace,Jamestown,5491,Primary/Secondary Combined,Reception to Year 12,Public,-33.204904,138.609566
329,5621,Jean Horan Kindergarten,Ross Avenue,Flinders Park,5025,Preschools,,Private,-34.90661,138.549037
330,194,Jervois Primary School,Rayson Street,Jervois,5259,Primary Education,Reception to Year 7,Private,-35.266177,139.437094
331,1423,John Hartley B-7 Children's Centre,199 Peachey Road,Smithfield Plains,5114,Integrated Centres,,Private,-34.680413,138.673586
332,1901,John Hartley School (B-7),199 Peachey Road,Smithfield Plains,5114,Primary Education,Reception to Year 7,Private,-34.680413,138.673586
333,792,John Pirie Secondary School,40 Mary Elie Street,Port Pirie,5540,Secondary Education,Years 7-12,Public,-33.183024,138.010153
334,778,Kadina Memorial School,5 Doswell Terrace,Kadina,5554,Primary/Secondary Combined,Reception to Year 12,Private,-33.960031,137.71013
335,6609,Kadina Preschool Centre,29 Hallett Street,Kadina,5554,Preschools,,Public,-33.959666,137.711007
336,6516,Kalangadoo Kindergarten,48B Kangaroo Flat Road,Kalangadoo,5278,Preschools,,Public,-37.564684,140.695568
337,197,Kalangadoo Primary School,48B Kangaroo Flat Road,Kalangadoo,5278,Primary Education,Reception to Year 7,Private,-37.564684,140.695568
338,5622,Kalaya Children's Centre,50 Webb Street,Queenstown,5014,Integrated Centres,,Private,-34.856228,138.507271
339,198,Kangarilla Primary School,33-35 McLaren Flat Road,Kangarilla,5157,Primary Education,Reception to Year 7,Private,-35.147815,138.659484
340,957,Kangaroo Inn Area School,2329 Beachport-Penola Road,Kangaroo Inn,5280,Primary/Secondary Combined,Reception to Year 12,Public,-37.337672,140.244361
341,1685,Kangaroo Inn Preschool,2329 Beachport-Penola Road,Kangaroo Inn,5280,Preschools,,Private,-37.337672,140.244361
342,1882,Kangaroo Island Community Education,5 Centenary Avenue,Kingscote,5223,Primary/Secondary Combined,Reception to Year 12,Public,-35.650387,137.633343
343,5625,Kangaroo Island CS  Kingscote,50 Buller Street,Kingscote,5223,Integrated Centres,,Private,-35.649958,137.635304
344,779,Kapunda High School,West Terrace,Kapunda,5373,Secondary Education,Years 8-12,Private,-34.332945,138.910495
345,2633,Kapunda Kindergarten,Beck Street,Kapunda,5373,Preschools,,Private,-34.338648,138.913272
346,200,Kapunda Primary School,Mildred Street,Kapunda,5373,Primary Education,Reception to Year 7,Private,-34.337884,138.918053
347,1123,Karcultaby Area School,Philips Road,Karcultaby,5654,Primary/Secondary Combined,Reception to Year 12,Public,-32.760589,134.973839
348,6755,Karcultaby Preschool,Philips Road,Karcultaby,5654,Preschools,,Private,-32.760589,134.973839
349,756,Karoonda Area School,North Terrace,Karoonda,5307,Primary/Secondary Combined,Reception to Year 12,Private,-35.092167,139.89422
350,1589,Karoonda Preschool,North Terrace,Karoonda,5307,Preschools,,Public,-35.092167,139.89422
351,1135,Karrendi Primary School,15 Bradman Road,Parafield Gardens,5107,Primary Education,Reception to Year 7,Public,-34.790544,138.618502
352,4626,Kathleen Mellor Preschool Kgtn,51 Bowen Road,Tea Tree Gully,5091,Preschools,,Public,-34.824979,138.726082
353,2621,Kaurna Plains Children's Centre,85 Ridley Road,Elizabeth,5112,Integrated Centres,,Public,-34.725693,138.664561
354,1792,Kaurna Plains School,85 Ridley Road,Elizabeth,5112,Aboriginal/Anangu Schools,Reception to Year 12,Public,-34.725693,138.664561
355,757,Keith Area School,Tolmer Terrace,Keith,5267,Primary/Secondary Combined,Reception to Year 12,Public,-36.099603,140.351249
356,6519,Keith War Memorial Comm Ctr Kgtn,Anzac Terrace,Keith,5267,Integrated Centres,,Private,-36.09684,140.351917
357,4631,Keithcot Farm Children's Centre,5 Keithcot Farm Drive,Wynn Vale,5127,Integrated Centres,,Public,-34.800056,138.676961
358,1847,Keithcot Farm Primary School,5 Keithcot Farm Drive,Wynn Vale,5127,Primary Education,Reception to Year 7,Public,-34.800056,138.676961
359,632,Keller Road Primary School,Keller Road,Salisbury East,5109,Primary Education,Reception to Year 7,Public,-34.792341,138.656283
360,1696,Kenmore Park Anangu School,NULL,Kenmore Park,872,Aboriginal/Anangu Schools,Reception to Year 12,Public,-26.326899,132.446178
361,4627,Kensington Gardens Preschool,430 The Parade,Kensington Gardens,5068,Preschools,,Public,-34.920236,138.662842
362,204,Kersbrook Primary School,Bowden Street,Kersbrook,5231,Primary Education,Reception to Year 7,Private,-34.782369,138.849721
363,205,Keyneton Primary School,Henschke Road,Keyneton,5353,Primary Education,Reception to Year 7,Private,-34.554333,139.1338
364,1610,KICE - Parndana Campus Preschool,Wedgewood Road,Parndana,5220,Preschools,,Public,-35.786785,137.263151
365,996,Kidman Park Primary School,13 Dean Avenue,Kidman Park,5025,Primary Education,Reception to Year 7,Public,-34.912517,138.52471
366,1592,Kilkenny Preschool,19 Jane Street,West Croydon,5008,Preschools,,Private,-34.890875,138.552927
367,207,Kilkenny Primary School,19 Jane Street,West Croydon,5008,Primary Education,Reception to Year 7,Private,-34.890875,138.552927
368,4162,Kilparrin Early Learning Centre,1C Duncan Avenue,Park Holme,5043,Preschools,,Public,-34.991038,138.555292
369,1372,Kilparrin Tch & Assessment Sch & Ser,1C Duncan Avenue,Park Holme,5043,Special Education,Reception to Year 12,Public,-34.991038,138.555292
370,736,Kimba Area School,69 West Terrace,Kimba,5641,Primary/Secondary Combined,Reception to Year 12,Private,-33.135605,136.419417
371,6626,Kimba Community Kindergarten,30-32 Park Terrace,Kimba,5641,Preschools,,Public,-33.138822,136.417408
372,737,Kingston Community School,46 East Terrace,Kingston SE,5275,Primary/Secondary Combined,Reception to Year 12,Public,-36.836572,139.857517
373,6520,Kingston Early Learning Centre,32 Cameron Street,Kingston SE,5275,Preschools,,Private,-36.828231,139.852885
374,209,Kingston-on-Murray Primary School,East Terrace,Kingston on Murray,5331,Primary Education,Reception to Year 7,Public,-34.222619,140.346866
375,6540,Kirinari Kindergarten,Sewarts Road,Allendale East,5291,Preschools,,Public,-38.003349,140.710311
376,6627,Kirton Point Children's Centre,63 Stevenson Street,Port Lincoln,5606,Integrated Centres,,Public,-34.732203,135.867019
377,899,Kirton Point Primary School,Matthew Place,Port Lincoln,5606,Primary Education,Reception to Year 7,Public,-34.731891,135.868237
378,5660,Klemzig Kindergarten,35-37 Hender Avenue,Klemzig,5087,Preschools,,Private,-34.873594,138.64081
379,898,Klemzig Primary School,2 Hay Street,Klemzig,5087,Primary Education,Reception to Year 7,Private,-34.877176,138.637665
380,1593,Kongorong Child Parent Centre,34 School Road,Kongorong,5291,Preschools,,Private,-37.902247,140.561148
381,211,Kongorong Primary School,34 School Road,Kongorong,5291,Primary Education,Reception to Year 7,Public,-37.902247,140.561148
382,212,Koolunga Primary School,31 Valley Road,Koolunga,5464,Primary Education,Reception to Year 7,Private,-33.580835,138.335026
383,1003,Koonibba Aboriginal School,NULL,Koonibba,5690,Aboriginal/Anangu Schools,Reception to Year 7,Public,-31.901766,133.424683
384,1594,Koonibba Child Parent Centre,NULL,Koonibba,5690,Preschools,,Public,-31.901766,133.424683
385,5626,Kurralta Park Community Kindergarten,35 Barwell Avenue,Marleston,5033,Preschools,,Public,-34.946429,138.567311
386,6630,Lake Wangary Preschool Centre,150 Main Street,Wangary,5607,Preschools,,Public,-34.550156,135.478324
387,563,Lake Wangary School,Third Street,Wangary,5607,Primary Education,Reception to Year 7,Private,-34.550294,135.479343
388,1404,Lake Windemere B-7 Children's Centre,17 Uraidla Avenue,Salisbury North,5108,Integrated Centres,,Private,-34.740265,138.619702
389,1908,Lake Windemere B-7 School,17 Uraidla Avenue,Salisbury North,5108,Primary Education,Reception to Year 7,Private,-34.740265,138.619702
390,6522,Lameroo and District Kindergarten,192 Bews Terrace,Lameroo,5302,Preschools,,Public,-35.33005,140.52301
391,759,Lameroo Regional Community School,1 Bews Terrace,Lameroo,5302,Primary/Secondary Combined,Reception to Year 12,Private,-35.331434,140.522579
392,2636,Lantana Kindergarten,45 Lantana Drive,Parafield Gardens,5107,Preschools,,Public,-34.788648,138.606346
393,219,Largs Bay School,215 Fletcher Road,Largs Bay,5016,Primary Education,Reception to Year 7,Private,-34.823666,138.494282
394,5628,Largs North Kindergarten,21 Kybunga Terrace,Largs North,5016,Preschools,,Public,-34.816037,138.493106
395,6631,Laura Preschool Centre,6 Booyoolie Street,Laura,5480,Preschools,,Public,-33.187208,138.303414
396,220,Laura Primary School,East Terrace,Laura,5480,Primary Education,Reception to Year 7,Private,-33.187073,138.303714
397,814,Le Fevre High School,90 Hart Street,Semaphore South,5019,Secondary Education,Years 8-12,Private,-34.845622,138.484995
398,5629,Le Fevre Kindergarten Inc,14 Hughes Street,Birkenhead,5015,Preschools,,Public,-34.839009,138.495298
399,221,Le Fevre Peninsula Primary School,Shorney Street,Birkenhead,5015,Primary Education,Reception to Year 7,Public,-34.840072,138.495412
400,748,Leigh Creek Area School,Blackoak Drive,Leigh Creek,5731,Primary/Secondary Combined,Reception to Year 12,Public,-30.592851,138.401496
401,6632,Leigh Creek Kindergarten,Blackoak Drive,Leigh Creek,5731,Preschools,,Private,-30.592851,138.401496
402,136,Lenswood Primary School,1554 Lobethal Road,Lenswood,5240,Primary Education,Reception to Year 7,Private,-34.922274,138.823468
403,2638,Liberman Kindergarten,41 Liberman Road,Para Hills,5096,Preschools,,Private,-34.80572,138.65716
404,223,Light Pass Primary School,395 Light Pass Road,Light Pass,5355,Primary Education,Reception to Year 7,Private,-34.46919,139.025019
405,1158,Lincoln Gardens Primary School,31b Barley Road,Port Lincoln,5606,Primary Education,Reception to Year 7,Private,-34.741991,135.847525
406,647,Linden Park Primary School,14 Hay Road,Linden Park,5065,Primary Education,Reception to Year 7,Public,-34.94781,138.645603
407,1829,Littlehampton Preschool,16-30 Baker Street,Littlehampton,5250,Preschools,,Public,-35.049417,138.868095
408,225,Littlehampton Primary School,16-30 Baker Street,Littlehampton,5250,Primary Education,Reception to Year 7,Private,-35.049417,138.868095
409,4630,Lobethal Community Kindergarten,1 Reserve Avenue,Lobethal,5241,Preschools,,Public,-34.906351,138.876915
410,227,Lobethal Primary School,1 School Road,Lobethal,5241,Primary Education,Reception to Year 7,Public,-34.901735,138.871761
411,230,Lock Area School,West Terrace,Lock,5633,Primary/Secondary Combined,Reception to Year 12,Public,-33.567298,135.754637
412,6633,Lock Early Learning Centre,West Terrace,Lock,5633,Preschools,,Public,-33.567298,135.754637
413,5630,Lockleys Children's Centre,57 Malurus Avenue,Lockleys,5032,Integrated Centres,,Private,-34.920591,138.537668
414,911,Lockleys North Primary School,55 Malurus Avenue,Lockleys,5032,Primary Education,Reception to Year 7,Private,-34.920591,138.537668
415,231,Lockleys Primary School,29 Elston Street,Brooklyn Park,5032,Primary Education,Reception to Year 7,Public,-34.930203,138.535095
416,1133,Long Street Primary School,Eyre Avenue,Whyalla Norrie,5608,Primary Education,Reception to Year 7,Public,-33.038921,137.533009
417,1595,Lonsdale Heights Preschool,25 Sunningdale Drive,Christie Downs,5164,Preschools,,Private,-35.124772,138.501556
418,1098,Lonsdale Heights Primary School,25 Sunningdale Drive,Christie Downs,5164,Primary Education,Reception to Year 7,Public,-35.124772,138.501556
419,895,Loxton High School,1889 Bookpurnong Road,Loxton,5333,Secondary Education,Years 8-12,Public,-34.443053,140.585017
420,6529,Loxton North Kindergarten,Balfour-Ogilvy Road,Loxton North,5333,Preschools,,Public,-34.413133,140.624328
421,678,Loxton North School,Balfour-Ogilvy Road,Loxton North,5333,Primary Education,Reception to Year 7,Public,-34.413133,140.624328
422,6524,Loxton Preschool Centre Inc,Anzac Crescent,Loxton,5333,Preschools,,Private,-34.45379,140.57329
423,760,Loxton Primary School,Pyap Street,Loxton,5333,Primary Education,Reception to Year 7,Private,-34.451324,140.567155
424,749,Lucindale Area School,116 Gum Avenue,Lucindale,5272,Primary/Secondary Combined,Reception to Year 12,Public,-36.964206,140.370633
425,5631,Lucy Morice Kindergarten,80 Sussex Street,North Adelaide,5006,Preschools,,Public,-34.906193,138.607026
426,237,Lyndoch Primary School,Margaret Street,Lyndoch,5351,Primary Education,Reception to Year 7,Private,-34.60554,138.885678
427,2692,Lyndoch Valley Family Centre,8 William Street,Lyndoch,5351,Preschools,,Private,-34.60431,138.885491
428,239,Macclesfield Primary School,Luck Street,Macclesfield,5153,Primary Education,Reception to Year 7,Public,-35.171315,138.83847
429,3647,Madge Sexton Kindergarten,249 Main Road,McLaren Vale,5171,Preschools,,Public,-35.211254,138.531794
430,2640,Madison Park Kindergarten,29 Piccadilly Road,Salisbury East,5109,Preschools,,Private,-34.779275,138.670525
431,649,Madison Park School,19 Lincoln Avenue,Salisbury East,5109,Primary Education,Reception to Year 7,Private,-34.783863,138.662355
432,4641,Magill Kindergarten,26 Edward Street,Magill,5072,Preschools,,Private,-34.90948,138.67864
433,1213,Magill School,Adelaide Street,Magill,5072,Primary Education,Reception to Year 7,Private,-34.91362,138.676746
434,1734,Mallala Preschool,28 Owen Road,Mallala,5502,Preschools,,Public,-34.43456,138.510526
435,241,Mallala Primary School,28 Owen Road,Mallala,5502,Primary Education,Reception to Year 7,Public,-34.43456,138.510526
436,1170,Mannum Community College,Walker Avenue,Mannum,5238,Primary/Secondary Combined,Reception to Year 12,Public,-34.912544,139.303495
437,6550,Mannum Kindergarten,Cnr Adelaide & Male Roads,Mannum,5238,Preschools,,Private,-34.913452,139.302595
438,245,Manoora Primary School,3 Weymouth Street,Manoora,5414,Primary Education,Reception to Year 7,Public,-34.006284,138.814121
439,2642,Manor Farm Kindergarten,32 Melville Road,Salisbury East,5109,Preschools,,Private,-34.79151,138.65793
440,583,Marden Senior College,1-37 Marden Road,Marden,5070,Secondary Education,Years 11-12,Private,-34.891954,138.63523
441,4690,Margaret Lohmeyer Kindergarten,28 Crozier Avenue,Daw Park,5041,Preschools,,Public,-34.986787,138.58921
442,993,Marion Primary School,2-22 Malcolm Avenue,Marion,5043,Primary Education,Reception to Year 7,Public,-35.00386,138.555218
443,1900,Mark Oliphant College (B-12),99 Douglas Drive,Munno Para,5115,Primary/Secondary Combined,Reception to Year 12,Public,-34.665475,138.683575
444,1448,Mark Oliphant College Children's Ctr,99 Douglas Drive,Munno Para,5115,Integrated Centres,,Public,-34.665475,138.683575
445,248,Marree Aboriginal School,First Street,Marree,5733,Aboriginal/Anangu Schools,Reception to Year 12,Public,-29.649185,138.061054
446,1597,Marree Preschool,First Street,Marree,5733,Preschools,,Public,-29.649185,138.061054
447,817,Marryatville High School,170 Kensington Road,Marryatville,5068,Secondary Education,Years 8-12,Private,-34.928185,138.645753
448,249,Marryatville Primary School,Dankel Avenue,Kensington,5068,Primary Education,Reception to Year 7,Private,-34.924542,138.649185
449,3649,Mary Bywaters Memorial Kindergarten,54 Corn Street,Reynella,5161,Preschools,,Private,-35.090203,138.542753
450,4163,Mawson Lakes Preschool,Garden Terrace,Mawson Lakes,5095,Preschools,,Public,-34.809171,138.61436
451,987,Mawson Lakes School,Garden Terrace,Mawson Lakes,5095,Primary Education,Reception to Year 7,Public,-34.809171,138.61436
452,6527,McArthur Park Kindergarten,McRostie Street,Millicent,5280,Preschools,,Private,-37.603203,140.363475
453,1021,McDonald Park School,57 North Terrace,Mount Gambier,5290,Primary Education,Reception to Year 7,Private,-37.825702,140.793167
454,6525,McKay Children's Centre,7 Scott Street,Penola,5277,Integrated Centres,,Private,-37.37969,140.832933
455,4632,McKellar Stewart Kindergarten,17A Regent Place,Kensington,5068,Preschools,,Public,-34.921492,138.644999
456,250,McLaren Flat Primary School,49 Main Road,McLaren Flat,5171,Primary Education,Reception to Year 7,Public,-35.206513,138.587256
457,251,McLaren Vale Primary School,Caffrey Street,McLaren Vale,5171,Primary Education,Reception to Year 7,Private,-35.211655,138.531438
458,6636,McRitchie Crescent Chn Servs Ctr,55 McRitchie Crescent,Whyalla Stuart,5608,Preschools,,Public,-33.022697,137.527249
459,4678,Meadows & Districts Kindergarten,49 Mawson Road,Meadows,5201,Preschools,,Public,-35.180922,138.758032
